HW,CHANNELS,KERNEL_SIZE,STRIDES,FREQ,CAT,STAGE,SCALED_FREQ,SCALED_LOG_FREQ
10.0,328.0,5.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
23.0,336.0,3.0,1.0,0.0005070634,train,body,0.0005070634069852531,0.00050713593
9.0,288.0,5.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
44.0,64.0,5.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
8.0,1248.0,3.0,1.0,0.0009444772,train,body,0.0009444772149436176,0.00094432523
35.0,56.0,3.0,1.0,0.000578554,train,body,0.0005785539979115129,0.0005785244
126.0,144.0,7.0,2.0,0.00066933164,train,body,0.0006693316390737891,0.0006693317
58.0,64.0,5.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
19.0,256.0,5.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
64.0,128.0,5.0,1.0,0.00082519394,train,body,0.0008251939434558153,0.00082506734
24.0,232.0,3.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
126.0,48.0,3.0,2.0,0.0006758467,train,body,0.0006758467061445117,0.0006757665
8.0,160.0,3.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
19.0,168.0,3.0,2.0,0.00032751146,train,body,0.00032751145772635937,0.00032750997
26.0,168.0,7.0,2.0,0.00032751146,train,body,0.00032751145772635937,0.00032750997
8.0,360.0,3.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
17.0,136.0,7.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
44.0,88.0,7.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
11.0,360.0,5.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
46.0,56.0,7.0,1.0,0.000578554,train,body,0.0005785539979115129,0.0005785244
74.0,144.0,5.0,2.0,0.00066933164,train,body,0.0006693316390737891,0.0006693317
16.0,728.0,5.0,2.0,0.000271585,train,body,0.00027158501325175166,0.00027160125
34.0,280.0,5.0,2.0,0.00021814003,train,body,0.0002181400341214612,0.00021819294
32.0,208.0,7.0,2.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
66.0,216.0,5.0,2.0,0.0004300926,train,body,0.00043009259388782084,0.00043014032
60.0,192.0,7.0,1.0,0.0006005355,train,body,0.0006005354807712138,0.0006005715
30.0,120.0,3.0,2.0,0.0003022669,train,body,0.0003022669116035104,0.00030235737
48.0,144.0,7.0,2.0,0.00033052434,train,body,0.00033052434446290135,0.0003306093
48.0,144.0,5.0,1.0,0.00082655693,train,body,0.0008265569340437651,0.0008264972
8.0,640.0,7.0,1.0,0.0003658836,train,body,0.0003658836067188531,0.00036589324
6.0,744.0,3.0,1.0,0.0005070634,train,body,0.0005070634069852531,0.00050713593
5.0,328.0,5.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
30.0,96.0,5.0,2.0,0.00021814003,train,body,0.0002181400341214612,0.00021819294
22.0,208.0,7.0,2.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
24.0,80.0,7.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
6.0,1488.0,3.0,2.0,0.00036059407,train,body,0.00036059407284483314,0.0003606484
33.0,192.0,7.0,2.0,0.00036059407,train,body,0.00036059407284483314,0.0003606484
17.0,576.0,3.0,1.0,0.000528242,train,body,0.0005282419733703136,0.00052823115
15.0,600.0,3.0,1.0,0.000528242,train,body,0.0005282419733703136,0.00052823115
12.0,672.0,5.0,2.0,0.00088209973,train,body,0.0008820997318252921,0.0008820174
110.0,144.0,7.0,2.0,0.00066933164,train,body,0.0006693316390737891,0.0006693317
48.0,64.0,7.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
5.0,328.0,3.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
24.0,224.0,5.0,1.0,0.0005070634,train,body,0.0005070634069852531,0.00050713593
7.0,1596.0,5.0,1.0,0.00071983447,train,body,0.0007198344683274627,0.00071973697
64.0,104.0,5.0,2.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
57.0,96.0,3.0,1.0,0.0006037305,train,body,0.000603730499278754,0.00060366996
40.0,88.0,7.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
120.0,72.0,3.0,2.0,0.00066933164,train,body,0.0006693316390737891,0.0006693317
41.0,72.0,5.0,2.0,0.0003658836,train,body,0.0003658836067188531,0.00036589324
24.0,224.0,7.0,2.0,0.00036059407,train,body,0.00036059407284483314,0.0003606484
64.0,88.0,3.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
19.0,232.0,5.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
4.0,336.0,5.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
24.0,144.0,7.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
13.0,328.0,3.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
16.0,224.0,7.0,2.0,0.00036059407,train,body,0.00036059407284483314,0.0003606484
86.0,72.0,3.0,2.0,0.00066933164,train,body,0.0006693316390737891,0.0006693317
18.0,80.0,7.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
22.0,168.0,7.0,1.0,0.0005070634,train,body,0.0005070634069852531,0.00050713593
9.0,464.0,3.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
52.0,72.0,3.0,1.0,0.00053106307,train,body,0.0005310630658641458,0.00053109153
8.0,1248.0,5.0,1.0,0.0009444772,train,body,0.0009444772149436176,0.00094432523
13.0,768.0,5.0,1.0,0.00063772505,train,body,0.0006377250538207591,0.0006377527
60.0,84.0,3.0,1.0,0.00051898113,train,body,0.000518981134518981,0.0005190542
50.0,64.0,3.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
15.0,224.0,5.0,1.0,0.00071983447,train,body,0.0007198344683274627,0.00071973697
58.0,64.0,3.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
33.0,168.0,5.0,2.0,0.00021814003,train,body,0.0002181400341214612,0.00021819294
21.0,208.0,5.0,2.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
60.0,64.0,3.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
27.0,240.0,3.0,1.0,0.0005131114,train,body,0.000513111415784806,0.0005130951
51.0,192.0,5.0,2.0,0.00036059407,train,body,0.00036059407284483314,0.0003606484
22.0,232.0,7.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
18.0,136.0,5.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
18.0,128.0,5.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
39.0,104.0,7.0,2.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
43.0,72.0,5.0,2.0,0.0003658836,train,body,0.0003658836067188531,0.00036589324
8.0,720.0,7.0,1.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
49.0,48.0,3.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
100.0,96.0,5.0,2.0,0.00067260937,train,body,0.0006726093706674874,0.0006725492
32.0,176.0,7.0,1.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
29.0,72.0,5.0,1.0,0.0006130445,train,body,0.0006130444817245007,0.0006130845
92.0,72.0,5.0,2.0,0.00066933164,train,body,0.0006693316390737891,0.0006693317
9.0,448.0,7.0,1.0,0.0003658836,train,body,0.0003658836067188531,0.00036589324
19.0,176.0,5.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
96.0,144.0,3.0,1.0,0.00091224606,train,body,0.000912246061488986,0.0009120401
11.0,672.0,5.0,2.0,0.0003658836,train,body,0.0003658836067188531,0.00036589324
13.0,360.0,7.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
57.0,128.0,7.0,2.0,0.00032751146,train,body,0.00032751145772635937,0.00032750997
60.0,88.0,3.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
35.0,72.0,5.0,2.0,0.0003658836,train,body,0.0003658836067188531,0.00036589324
10.0,336.0,3.0,2.0,0.00033052434,train,body,0.00033052434446290135,0.0003306093
16.0,512.0,3.0,1.0,0.00060604594,train,body,0.0006060459418222308,0.00060605345
23.0,240.0,5.0,2.0,0.0003658836,train,body,0.0003658836067188531,0.00036589324
15.0,640.0,3.0,2.0,0.000271585,train,body,0.00027158501325175166,0.00027160125
37.0,80.0,5.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
18.0,256.0,7.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
13.0,768.0,7.0,2.0,0.00036059407,train,body,0.00036059407284483314,0.0003606484
6.0,512.0,7.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
17.0,448.0,3.0,2.0,0.000271585,train,body,0.00027158501325175166,0.00027160125
25.0,120.0,5.0,1.0,0.00047233162,train,body,0.0004723316233139485,0.00047233363
24.0,240.0,3.0,1.0,0.0007780234,train,body,0.0007780233863741159,0.00077800377
7.0,960.0,5.0,1.0,0.0005131114,train,body,0.000513111415784806,0.0005130951
5.0,576.0,3.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
47.0,144.0,5.0,1.0,0.00060688704,train,body,0.0006068870425224304,0.0006068876
56.0,80.0,3.0,1.0,0.00051898113,train,body,0.000518981134518981,0.0005190542
104.0,48.0,5.0,2.0,0.0006758467,train,body,0.0006758467061445117,0.0006757665
57.0,144.0,7.0,1.0,0.00060688704,train,body,0.0006068870425224304,0.0006068876
29.0,232.0,3.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
20.0,672.0,5.0,1.0,0.00091224606,train,body,0.000912246061488986,0.0009120401
41.0,96.0,5.0,2.0,0.00036325215,train,body,0.0003632521547842771,0.0003632708
54.0,88.0,3.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
14.0,672.0,7.0,1.0,0.0003658836,train,body,0.0003658836067188531,0.00036589324
34.0,176.0,3.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
8.0,1488.0,5.0,1.0,0.00036059407,train,body,0.00036059407284483314,0.0003606484
8.0,336.0,3.0,2.0,0.00033052434,train,body,0.00033052434446290135,0.0003306093
17.0,480.0,3.0,2.0,0.0004022189,train,body,0.0004022188950330019,0.00040224873
25.0,224.0,5.0,1.0,0.0005070634,train,body,0.0005070634069852531,0.00050713593
61.0,128.0,5.0,1.0,0.0006005355,train,body,0.0006005354807712138,0.0006005715
20.0,208.0,7.0,2.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
17.0,560.0,5.0,1.0,0.0005852727,train,body,0.0005852726753801107,0.0005853174
68.0,48.0,3.0,2.0,0.0006758467,train,body,0.0006758467061445117,0.0006757665
63.0,176.0,5.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
72.0,72.0,3.0,2.0,0.00066933164,train,body,0.0006693316390737891,0.0006693317
8.0,512.0,3.0,1.0,0.00032751146,train,body,0.00032751145772635937,0.00032750997
17.0,224.0,3.0,2.0,0.00036059407,train,body,0.00036059407284483314,0.0003606484
17.0,600.0,3.0,2.0,0.000271585,train,body,0.00027158501325175166,0.00027160125
61.0,40.0,7.0,1.0,0.000578554,train,body,0.0005785539979115129,0.0005785244
48.0,128.0,3.0,1.0,0.00082519394,train,body,0.0008251939434558153,0.00082506734
16.0,512.0,3.0,2.0,0.00031015972,train,body,0.0003101597249042243,0.00031022506
17.0,504.0,5.0,1.0,0.000271585,train,body,0.00027158501325175166,0.00027160125
27.0,208.0,3.0,2.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
66.0,140.0,5.0,1.0,0.00051898113,train,body,0.000518981134518981,0.0005190542
32.0,160.0,7.0,1.0,0.0003658836,train,body,0.0003658836067188531,0.00036589324
118.0,64.0,5.0,2.0,0.0006758467,train,body,0.0006758467061445117,0.0006757665
36.0,104.0,3.0,2.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
9.0,576.0,3.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
18.0,80.0,5.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
30.0,72.0,5.0,1.0,0.0006130445,train,body,0.0006130444817245007,0.0006130845
32.0,80.0,5.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
14.0,560.0,5.0,1.0,0.0005852727,train,body,0.0005852726753801107,0.0005853174
7.0,992.0,5.0,2.0,0.00036059407,train,body,0.00036059407284483314,0.0003606484
59.0,80.0,5.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
28.0,224.0,5.0,2.0,0.00029890958,train,body,0.00029890958103351295,0.00029890036
54.0,176.0,5.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
7.0,720.0,5.0,1.0,0.00061154825,train,body,0.00061154825380072,0.00061153533
112.0,240.0,3.0,1.0,0.0010901829,train,body,0.0010901829227805138,0.0010898934
13.0,448.0,5.0,2.0,0.0003658836,train,body,0.0003658836067188531,0.00036589324
34.0,32.0,5.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
49.0,64.0,7.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
14.0,544.0,5.0,1.0,0.000528242,train,body,0.0005282419733703136,0.00052823115
22.0,336.0,3.0,2.0,0.00036059407,train,body,0.00036059407284483314,0.0003606484
53.0,120.0,5.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
38.0,128.0,3.0,2.0,0.00032751146,train,body,0.00032751145772635937,0.00032750997
52.0,48.0,5.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
39.0,64.0,7.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
41.0,192.0,3.0,2.0,0.00036059407,train,body,0.00036059407284483314,0.0003606484
8.0,408.0,7.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
19.0,168.0,7.0,2.0,0.00032751146,train,body,0.00032751145772635937,0.00032750997
29.0,360.0,3.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
17.0,728.0,5.0,2.0,0.000271585,train,body,0.00027158501325175166,0.00027160125
26.0,240.0,7.0,2.0,0.0003658836,train,body,0.0003658836067188531,0.00036589324
8.0,1176.0,3.0,1.0,0.0007337194,train,body,0.0007337193819694221,0.0007336784
11.0,240.0,7.0,1.0,0.00060688704,train,body,0.0006068870425224304,0.0006068876
34.0,240.0,3.0,1.0,0.0006130445,train,body,0.0006130444817245007,0.0006130845
18.0,232.0,7.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
15.0,680.0,3.0,1.0,0.000528242,train,body,0.0005282419733703136,0.00052823115
102.0,48.0,3.0,2.0,0.0006758467,train,body,0.0006758467061445117,0.0006757665
43.0,88.0,7.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
20.0,144.0,5.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
35.0,40.0,7.0,1.0,0.000578554,train,body,0.0005785539979115129,0.0005785244
62.0,88.0,7.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
128.0,112.0,3.0,2.0,0.0006498687,train,body,0.0006498686852864921,0.00064978853
17.0,232.0,5.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
126.0,96.0,5.0,2.0,0.00067260937,train,body,0.0006726093706674874,0.0006725492
18.0,64.0,3.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
4.0,2496.0,5.0,1.0,0.00036059407,train,body,0.00036059407284483314,0.0003606484
14.0,168.0,7.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
16.0,320.0,7.0,1.0,0.0005131114,train,body,0.000513111415784806,0.0005130951
58.0,40.0,5.0,1.0,0.0005504531,train,body,0.0005504530854523182,0.00055051775
58.0,104.0,3.0,2.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
32.0,56.0,3.0,1.0,0.000578554,train,body,0.0005785539979115129,0.0005785244
16.0,384.0,3.0,1.0,0.0007478425,train,body,0.0007478424813598394,0.0007477388
5.0,336.0,3.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
31.0,64.0,7.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
54.0,64.0,5.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
15.0,720.0,5.0,2.0,0.0003519211,train,body,0.00035192110226489604,0.0003519467
43.0,192.0,5.0,2.0,0.00036059407,train,body,0.00036059407284483314,0.0003606484
11.0,336.0,3.0,1.0,0.0003658836,train,body,0.0003658836067188531,0.00036589324
10.0,576.0,3.0,2.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
17.0,120.0,5.0,1.0,0.00047233162,train,body,0.0004723316233139485,0.00047233363
16.0,232.0,3.0,1.0,0.00028965264,train,body,0.0002896526420954615,0.0002897212
33.0,32.0,7.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
12.0,672.0,3.0,1.0,0.0007639525,train,body,0.000763952499255538,0.0007638246
144.0,64.0,3.0,2.0,0.0010016366,train,body,0.0010016366140916944,0.0010013876
37.0,192.0,5.0,2.0,0.00036059407,train,body,0.00036059407284483314,0.0003606484
5.0,720.0,7.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
8.0,848.0,5.0,1.0,0.00071983447,train,body,0.0007198344683274627,0.00071973697
33.0,224.0,5.0,2.0,0.00021814003,train,body,0.0002181400341214612,0.00021819294
14.0,192.0,3.0,1.0,0.0006871746,train,body,0.0006871746154502034,0.0006870871
45.0,64.0,5.0,1.0,0.0004240347,train,body,0.00042403468978591263,0.00042406144
132.0,64.0,5.0,2.0,0.0006498687,train,body,0.0006498686852864921,0.00064978853
41.0,40.0,7.0,1.0,0.000578554,train,body,0.0005785539979115129,0.0005785244
18.0,336.0,3.0,1.0,0.0005070634,train,body,0.0005070634069852531,0.00050713593
46.0,96.0,5.0,2.0,0.00036325215,train,body,0.0003632521547842771,0.0003632708
45.0,128.0,3.0,2.0,0.00032751146,train,body,0.00032751145772635937,0.00032750997
100.0,72.0,3.0,2.0,0.00066933164,train,body,0.0006693316390737891,0.0006693317
34.0,48.0,3.0,1.0,0.00053518824,train,body,0.0005351882427930832,0.00053514366
